gene,raw_identifier,n_masked,neural_r,knn_r,delta_r,neural_mse,knn_mse,delta_mse
SHARPIN,SHARPIN,89,0.77339065,0.8677253,-0.09433466,0.47766736149787903,0.2920486032962799,-0.18561875820159912
RN7SL19P,RN7SL19P,102,0.872999,0.9673466,-0.094347596,0.28654903173446655,0.08477446436882019,-0.20177456736564636
C1orf105,C1orf105,87,0.80587214,0.900254,-0.09438187,0.29750970005989075,0.17095671594142914,-0.1265529841184616
RN7SKP10,RN7SKP10,121,0.26007235,0.35465342,-0.09458107,1.141942024230957,1.0500298738479614,-0.0919121503829956
GLI4,GLI4,95,0.8267806,0.9213621,-0.094581485,0.38409751653671265,0.19133777916431427,-0.19275973737239838
TENM4,TENM4,97,0.4351623,0.5298671,-0.09470481,0.4402133822441101,0.3904847502708435,-0.0497286319732666
KRTCAP2,KRTCAP2,106,0.77242,0.86717904,-0.09475905,0.4897814691066742,0.30178457498550415,-0.18799689412117004
IGF2BP3,IGF2BP3,130,0.67243016,0.76733685,-0.09490669,0.43654096126556396,0.3263069987297058,-0.11023396253585815
TRIQK,TRIQK,89,0.86339045,0.9583026,-0.09491217,0.2796124815940857,0.09598696976900101,-0.1836255118250847
SPATA25,SPATA25,114,0.81216687,0.9071542,-0.09498733,0.29349634051322937,0.16797487437725067,-0.1255214661359787
RALGAPB,RALGAPB,115,0.7910066,0.8859989,-0.09499228,0.3697577714920044,0.17259983718395233,-0.19715793430805206
TSHZ2,TSHZ2,95,0.7829541,0.8780307,-0.09507662,0.42328277230262756,0.29798421263694763,-0.12529855966567993
TCTEX1D2,TCTEX1D2,95,0.8301802,0.9252592,-0.095078945,0.256470263004303,0.10657045245170593,-0.14989981055259705
MCF2L,MCF2L,92,0.6317203,0.7269102,-0.09518987,1.168976068496704,1.0931304693222046,-0.07584559917449951
C13orf35,C13orf35,105,0.52737343,0.6225803,-0.09520686,0.6890365481376648,0.6146093606948853,-0.07442718744277954
HNF4G,HNF4G,94,0.86430687,0.95960784,-0.09530097,0.3285938501358032,0.08870438486337662,-0.2398894652724266
SYCP2,SYCP2,107,0.76407343,0.8594684,-0.09539497,0.3680085241794586,0.22956733405590057,-0.13844119012355804
DSCC1,DSCC1,107,0.7565825,0.85203403,-0.095451534,0.3692261278629303,0.24826855957508087,-0.12095756828784943
ZFAND1,ZFAND1,97,0.87140024,0.9669488,-0.09554857,0.2733088731765747,0.06799398362636566,-0.20531488955020905
OSBPL2,OSBPL2,97,0.7034372,0.7991505,-0.09571332,0.42348378896713257,0.30477502942085266,-0.11870875954627991
DLGAP4,DLGAP4,117,0.8378294,0.9336019,-0.095772505,0.4188216030597687,0.1891712248325348,-0.2296503782272339
C12orf57,C12orf57,111,0.8442471,0.9400417,-0.09579462,0.25991755723953247,0.09722400456666946,-0.162693552672863
