gene,raw_identifier,n_masked,neural_r,neural_mse,rank_r,rank_mse,quality_score
ARFRP1,ARFRP1,136,0.7329787,0.5330332517623901,0.5285024154589372,0.36328502415458935,0.4458937198067633
CDH6,CDH6,106,0.5986992,0.3820626139640808,0.23703703703703705,0.6534621578099838,0.44524959742351045
NRBP2,NRBP2,110,0.614281,0.3903247117996216,0.25958132045088567,0.6309178743961352,0.44524959742351045
BOP1,BOP1,109,0.70199066,0.47918933629989624,0.4386473429951691,0.45185185185185184,0.44524959742351045
ZFP41,ZFP41,85,0.6126397,0.38933849334716797,0.2570048309178744,0.6331723027375201,0.44508856682769726
PCIF1,PCIF1,116,0.75702035,0.6073005795478821,0.6077294685990338,0.2811594202898551,0.4444444444444444
LCE2C,LCE2C,117,0.69846064,0.47534632682800293,0.42769726247987117,0.46022544283413847,0.4439613526570048
HIST2H2BE,HIST2H2BE,118,0.697525,0.4754284918308258,0.42673107890499196,0.4595813204508857,0.44315619967793884
BMP7,BMP7,94,0.77552736,0.6864593029022217,0.6702093397745572,0.21545893719806763,0.4428341384863124
ODF1,ODF1,96,0.7619611,0.6303414702415466,0.6247987117552335,0.2608695652173913,0.44283413848631237
RN7SKP32,RN7SKP32,110,0.6907409,0.46893182396888733,0.41030595813204507,0.47278582930756846,0.4415458937198068
SLMO2,SLMO2,97,0.79253024,0.7817727327346802,0.7281803542673108,0.15458937198067632,0.44138486312399355
FAM90A1,FAM90A1,97,0.5160822,0.3455074429512024,0.1397745571658615,0.7426731078904992,0.44122383252818037
ZNF16,ZNF16,91,0.6806597,0.4562322497367859,0.38711755233494366,0.49500805152979066,0.44106280193236713
MOS,MOS,108,0.704038,0.4866478741168976,0.4434782608695652,0.43768115942028984,0.4405797101449275
DNAJC19,DNAJC19,96,0.7764329,0.6983224749565125,0.6743961352657005,0.20611916264090177,0.44025764895330116
RN7SL738P,RN7SL738P,92,0.7398037,0.5596568584442139,0.5516908212560386,0.3285024154589372,0.4400966183574879
PLAG1,PLAG1,99,0.7291889,0.5336189270019531,0.5172302737520129,0.36231884057971014,0.43977455716586156
VSTM2L,VSTM2L,105,0.68970776,0.4699881672859192,0.4064412238325282,0.4721417069243156,0.4392914653784219
MIR4456,MIR4456,116,0.6291817,0.4127822518348694,0.29017713365539455,0.5880837359098229,0.4391304347826087
SLC9A3,SLC9A3,107,0.67697054,0.4538995325565338,0.37648953301127214,0.5004830917874397,0.43848631239935587
APOD,APOD,93,0.7391059,0.5594331622123718,0.547181964573269,0.32914653784219,0.4381642512077295
BHLHE23,BHLHE23,101,0.7413835,0.5676557421684265,0.5565217391304348,0.31980676328502416,0.4381642512077295
CCDC19,CCDC19,104,0.74602616,0.5808106064796448,0.5703703703703704,0.30563607085346217,0.4380032206119163
APOA2,APOA2,113,0.74719626,0.5870400071144104,0.5748792270531401,0.2995169082125604,0.43719806763285024
SF3B4,SF3B4,100,0.60855687,0.39433497190475464,0.2518518518518518,0.6219001610305959,0.4368760064412238
DUSP26,DUSP26,88,0.69316006,0.4780403971672058,0.41739130434782606,0.45507246376811594,0.436231884057971
MTX1,MTX1,120,0.76452565,0.6621124148368835,0.6351046698872785,0.23671497584541062,0.4359098228663446
ADIPOR2,ADIPOR2,97,0.7923405,0.8050313591957092,0.7272141706924315,0.14460547504025764,0.4359098228663446
NBN,NBN,114,0.6369787,0.4210126996040344,0.3017713365539452,0.5694041867954911,0.43558776167471813
SNORD54,SNORD54,83,0.6552708,0.43599098920822144,0.33397745571658616,0.5368760064412238,0.43542673107890495
DDX47,DDX47,110,0.80731726,0.9722485542297363,0.7887278582930757,0.08148148148148149,0.4351046698872786
MYBL1,MYBL1,90,0.6874304,0.4720878303050995,0.40225442834138486,0.4676328502415459,0.4349436392914654
P2RY13,P2RY13,111,0.75181854,0.6072962880134583,0.5880837359098229,0.2814814814814815,0.4347826086956522
DCUN1D1,DCUN1D1,86,0.71035093,0.5076183080673218,0.4647342995169082,0.40418679549114334,0.43446054750402574
PPIAL4D,PPIAL4D,80,0.53736305,0.360292911529541,0.1607085346215781,0.7075684380032206,0.4341384863123993
CCT5,CCT5,115,0.66997725,0.4515688717365265,0.3578099838969404,0.5082125603864734,0.4330112721417069
FAM135B,FAM135B,90,0.6795714,0.46237319707870483,0.38357487922705313,0.4824476650563607,0.4330112721417069
TFRC,TFRC,104,0.7236086,0.5327568650245667,0.5014492753623189,0.3642512077294686,0.43285024154589374
LINGO4,LINGO4,119,0.7302248,0.5483424663543701,0.5210950080515298,0.34170692431561994,0.4314009661835748
TSPAN11,TSPAN11,110,0.6319176,0.42128220200538635,0.293719806763285,0.5684380032206119,0.43107890499194845
PPP1R42,PPP1R42,103,0.730009,0.5483441352844238,0.520450885668277,0.3413848631239936,0.43091787439613527
ACTRT3,ACTRT3,103,0.7475136,0.6026328206062317,0.5755233494363929,0.2863123993558776,0.43091787439613527
RBM48,RBM48,109,0.6840313,0.47225284576416016,0.39484702093397744,0.4669887278582931,0.43091787439613527
DEFB118,DEFB118,105,0.7078757,0.5039129257202148,0.45314009661835747,0.40837359098228665,0.4307568438003221
RUSC1,RUSC1,101,0.7242665,0.5363066792488098,0.5033816425120773,0.35813204508856683,0.4307568438003221
OPTC,OPTC,109,0.7042347,0.49917903542518616,0.44412238325281805,0.41642512077294686,0.4302737520128824
HCN3,HCN3,108,0.7416076,0.585196852684021,0.5587761674718197,0.3017713365539452,0.4302737520128824
CDH9,CDH9,96,0.5676868,0.3770247995853424,0.19452495974235104,0.6657004830917874,0.43011272141706924
MIR489,MIR489,109,0.53775907,0.3641047775745392,0.16167471819645732,0.6975845410628019,0.4296296296296296
BPIFB6,BPIFB6,119,0.7419325,0.5888661742210388,0.5600644122383253,0.29822866344605475,0.42914653784219003
NCBP2,NCBP2,115,0.76389694,0.6755528450012207,0.6334943639291465,0.2247987117552335,0.42914653784219
LRRC24,LRRC24,103,0.7057982,0.5029752254486084,0.44830917874396137,0.4096618357487923,0.42898550724637685
PCMTD2,PCMTD2,94,0.73507404,0.5632728338241577,0.5339774557165862,0.32367149758454106,0.4288244766505636
HIST2H3A,HIST2H3A,93,0.70718074,0.5051019787788391,0.4505636070853462,0.4067632850241546,0.4286634460547504
SSR3,SSR3,102,0.6992404,0.49392250180244446,0.4302737520128824,0.4260869565217391,0.42818035426731077
FGFR1,FGFR1,102,0.65695363,0.446122407913208,0.3365539452495974,0.5194847020933977,0.42801932367149753
COPS7A,COPS7A,119,0.75364053,0.6320395469665527,0.5961352657004831,0.25958132045088567,0.4278582930756844
ZNF496,ZNF496,96,0.73893493,0.5766426920890808,0.5465378421900161,0.30853462157809985,0.427536231884058
PDGFRA,PDGFRA,112,-0.06855607,0.29205378890037537,0.000966183574879227,0.8541062801932368,0.427536231884058
FBXO43,FBXO43,113,0.66247547,0.4519989788532257,0.3468599033816425,0.5066022544283414,0.42673107890499196
CPA6,CPA6,114,0.60131407,0.3998044431209564,0.24122383252818036,0.6103059581320451,0.42576489533011275
ZC3H3,ZC3H3,84,0.68493223,0.4782979488372803,0.3964573268921095,0.4544283413848631,0.42544283413848627
MIR5680,MIR5680,90,0.7423359,0.5976890921592712,0.5616747181964573,0.2892109500805153,0.42544283413848627
SLC35G5,SLC35G5,105,0.627301,0.4228624999523163,0.28470209339774555,0.5648953301127214,0.4247987117552335
CCT6A,CCT6A,93,0.58898824,0.39334943890571594,0.22351046698872787,0.6257648953301127,0.4246376811594203
FOXH1,FOXH1,106,0.75824994,0.663661539554596,0.6122383252818036,0.2357487922705314,0.42399355877616746
LRRC14,LRRC14,100,0.6212866,0.41805046796798706,0.2711755233494364,0.5764895330112721,0.4238325281803543
C12orf36,C12orf36,110,0.715432,0.5295154452323914,0.47729468599033814,0.37037037037037035,0.4238325281803542
FAM49B,FAM49B,109,0.7759664,0.7477485537528992,0.6718196457326893,0.1752012882447665,0.42351046698872785
C8orf34,C8orf34,95,0.77772737,0.759903609752655,0.6798711755233494,0.1671497584541063,0.42351046698872785
EIF2A,EIF2A,103,0.74443555,0.6105985045433044,0.5668276972624798,0.2792270531400966,0.4230273752012882
CHTOP,CHTOP,93,0.72763246,0.5582722425460815,0.5143317230273752,0.3310789049919485,0.4227053140096618
RN7SL41P,RN7SL41P,101,0.7194957,0.5391544103622437,0.49114331723027377,0.3536231884057971,0.42238325281803546
HFE2,HFE2,119,0.699002,0.5003644824028015,0.42995169082125606,0.4144927536231884,0.4222222222222222
MIR141,MIR141,107,0.6044548,0.4079208970069885,0.2460547504025765,0.5964573268921095,0.421256038647343
MIR937,MIR937,106,0.6832116,0.48091816902160645,0.392914653784219,0.4486312399355878,0.4207729468599034
PPM1L,PPM1L,103,0.7432279,0.6135985851287842,0.5639291465378422,0.27697262479871176,0.420450885668277
BRI3,BRI3,116,0.5593001,0.38030949234962463,0.1826086956521739,0.65829307568438,0.42045088566827693
RICTOR,RICTOR,110,0.6059143,0.41117480397224426,0.2492753623188406,0.591304347826087,0.4202898550724638
RN7SL383P,RN7SL383P,90,0.6865222,0.48573964834213257,0.4003220611916264,0.4392914653784219,0.41980676328502414
DLGAP2,DLGAP2,109,0.6478751,0.4460665285587311,0.3188405797101449,0.5198067632850242,0.41932367149758454
C19orf47,C19orf47,118,0.55627733,0.37989580631256104,0.1793880837359098,0.6589371980676328,0.41916264090177136
SCNM1,SCNM1,110,0.75588197,0.6655963063240051,0.6045088566827698,0.23317230273752013,0.41884057971014493
MIR4326,MIR4326,106,0.6889584,0.4914833605289459,0.4045088566827697,0.4312399355877617,0.41787439613526567
CDH18,CDH18,103,0.6089085,0.41518473625183105,0.2528180354267311,0.5826086956521739,0.4177133655394525
UFC1,UFC1,105,0.73661166,0.5954392552375793,0.5400966183574879,0.2927536231884058,0.41642512077294686
